game num,round num,num_turns,duration (ms),winner,player1 pts,player2 pts,player3 pts,player4 pts
23,3,17,0.046208035200834274,player-3,5,7,12,4
23,4,17,0.04475004971027374,player-4,12,10,12,9
23,5,18,0.048584071919322014,player-2,12,15,17,9
23,6,19,0.05150004290044308,player-4,17,20,24,11
24,1,17,0.04420895129442215,player-3,2,1,3,3
24,2,19,0.056999968364834785,player-2,3,7,6,5
24,3,18,0.05120900459587574,player-2,5,12,12,10
24,4,17,0.04779198206961155,player-2,6,24,18,11
24,5,17,0.050083035603165627,player-3,11,27,22,16
25,1,17,0.049625057727098465,player-3,3,5,5,4
25,2,20,0.04954217001795769,player-3,4,8,8,5
25,3,17,0.043165870010852814,player-1,13,10,11,7
25,4,19,0.0643748790025711,player-4,17,11,16,20
25,5,20,0.06687501445412636,player-2,21,16,18,23
25,6,17,0.10141683742403984,player-4,25,17,18,29
26,1,26,0.07850001566112041,player-2,4,4,3,5
26,2,17,0.047083012759685516,player-2,9,11,6,9
26,3,24,0.07520895451307297,player-2,10,14,8,9
26,4,18,0.054582953453063965,player-1,12,16,8,12
26,5,17,0.04612491466104984,player-1,19,17,10,14
26,6,17,0.047666020691394806,player-2,26,20,13,16
26,7,17,0.03758305683732033,player-3,26,21,18,18
27,1,21,0.05408306606113911,player-1,4,0,3,0
27,2,19,0.05091587081551552,player-4,7,1,6,4
27,3,24,0.06341701373457909,player-2,9,5,8,4
27,4,18,0.05158316344022751,player-1,17,5,11,8
27,5,19,0.05891593173146248,player-3,22,7,17,8
27,6,19,0.06512505933642387,player-4,27,8,19,13
28,1,19,0.057499855756759644,player-3,3,3,6,4
28,2,18,0.045584049075841904,player-3,4,6,9,6
28,3,24,0.06274995394051075,none,5,10,10,10
28,4,18,0.060957856476306915,player-1,11,15,12,13
28,5,17,0.04850002005696297,player-1,18,17,13,14
28,6,22,0.0855419784784317,player-3,24,19,24,17
29,1,18,0.04679197445511818,player-4,1,2,0,9
29,2,17,0.04887511022388935,player-4,4,5,5,13
29,3,17,0.047042034566402435,player-1,8,9,10,16
29,4,19,0.06091594696044922,player-4,10,9,13,18
29,5,17,0.05758390761911869,player-3,14,11,18,18
29,6,17,0.05433312617242336,player-4,15,16,22,30
30,1,19,0.05591707304120064,player-1,0,2,3,0
30,2,24,0.06704195402562618,player-3,0,4,9,3
30,3,17,0.04591699689626694,player-1,3,4,10,4
30,4,17,0.047708163037896156,player-2,6,8,13,4
30,5,18,0.05962490104138851,player-4,8,11,17,11
30,6,20,0.06379187107086182,player-3,9,17,32,13
31,1,19,0.05874992348253727,player-3,0,3,7,5
31,2,17,0.05050003528594971,player-2,5,14,10,5
31,3,20,0.05487515591084957,player-2,6,18,13,6
31,4,17,0.05908310413360596,player-4,15,22,21,13
31,5,17,0.03970786929130554,player-1,16,25,24,16
32,1,20,0.05879206582903862,none,4,1,1,3
32,2,17,0.15641702339053154,player-2,4,4,3,7
32,3,23,0.07212487980723381,player-1,10,7,5,7
32,4,20,0.07075001485645771,player-3,10,10,10,10
32,5,18,0.058125006034970284,player-2,11,15,15,11
32,6,17,0.04724995233118534,player-2,16,18,18,13
32,7,17,0.04654098302125931,player-3,20,19,22,18
33,1,17,0.04812492989003658,player-4,1,1,1,7
33,2,17,0.06879190914332867,player-1,12,2,1,11
33,3,17,0.04470907151699066,player-2,17,5,1,13
33,4,21,0.06329198367893696,player-3,19,12,2,16
33,5,17,0.046999892219901085,player-4,19,16,6,20
33,6,17,0.05708378739655018,player-1,22,18,6,22
34,1,17,0.04416611045598984,player-3,2,0,5,2
34,2,19,0.05870801396667957,player-2,3,3,7,4
34,3,18,0.05716690793633461,player-2,7,6,10,7
34,4,17,0.0627920962870121,player-2,11,9,19,15
34,5,17,0.0463749747723341,player-3,13,11,23,19
34,6,19,0.05625002086162567,player-2,14,20,24,19
34,7,21,0.07091695442795753,player-1,22,26,30,24
35,1,17,0.05224999040365219,player-2,2,5,3,0
35,2,22,0.06691692396998405,none,6,5,6,2
35,3,17,0.047083012759685516,player-4,6,7,8,10
35,4,17,0.040207989513874054,player-1,16,12,8,13
35,5,19,0.11120899580419064,player-4,18,19,12,18
35,6,22,0.12087495997548103,none,18,19,16,23
36,1,17,0.05220901221036911,player-1,11,1,9,4
36,2,22,0.06854208186268806,player-3,13,2,11,6
36,3,17,0.05612499080598354,player-3,15,2,15,6
36,4,17,0.07108296267688274,player-4,17,5,20,16
36,5,17,0.059499870985746384,player-1,19,10,20,19
36,6,17,0.050582922995090485,player-2,19,20,25,22
37,1,17,0.045416178181767464,player-2,6,3,2,1
37,2,18,0.05095801316201687,player-4,7,7,6,7
37,3,17,0.042040832340717316,player-4,15,10,14,14
37,4,17,0.0541249755769968,player-1,17,12,16,18
37,5,17,0.04433398135006428,player-2,20,17,18,23
38,1,19,0.06633298471570015,player-2,0,5,2,7
38,2,17,0.050250208005309105,player-1,7,13,2,10
38,3,23,0.08120806887745857,player-4,10,22,5,18
39,1,17,0.05929195322096348,player-4,0,3,3,6
39,2,19,0.06320909596979618,player-3,5,9,10,7
39,3,18,0.07224990986287594,player-3,5,15,20,8
39,4,18,0.06449990905821323,player-4,13,24,26,16
40,1,21,0.07787486538290977,player-3,4,2,8,1
40,2,19,0.06987503729760647,player-2,8,9,9,5
40,3,17,0.04783296026289463,player-1,9,11,9,11
40,4,19,0.049625057727098465,player-4,12,13,11,12
40,5,17,0.044582877308130264,player-3,13,20,11,12
40,6,17,0.04095793701708317,player-4,17,22,12,16
